Day,Hour,Total_People
2013-07-01,00:00:00,27
2013-07-01,01:00:00,10
2013-07-01,02:00:00,17
2013-07-01,03:00:00,6
2013-07-01,04:00:00,7
2013-07-01,05:00:00,30
2013-07-01,06:00:00,111
2013-07-01,07:00:00,197
2013-07-01,08:00:00,312
2013-07-01,09:00:00,85
2013-07-01,10:00:00,66
2013-07-01,11:00:00,54
2013-07-01,12:00:00,84
2013-07-01,13:00:00,100
2013-07-01,14:00:00,61
2013-07-01,15:00:00,103
2013-07-01,16:00:00,162
2013-07-01,17:00:00,249
2013-07-01,18:00:00,304
2013-07-01,19:00:00,233
2013-07-01,20:00:00,205
2013-07-01,21:00:00,126
2013-07-01,22:00:00,98
2013-07-02,00:00:00,18
2013-07-02,01:00:00,7
2013-07-02,02:00:00,10
2013-07-02,03:00:00,11
2013-07-02,04:00:00,10
2013-07-02,05:00:00,26
2013-07-02,06:00:00,108
2013-07-02,07:00:00,209
2013-07-02,08:00:00,324
2013-07-02,09:00:00,260
2013-07-02,10:00:00,155
2013-07-02,11:00:00,161
2013-07-02,12:00:00,167
2013-07-02,13:00:00,160
2013-07-02,14:00:00,191
2013-07-02,15:00:00,204
2013-07-02,16:00:00,303
2013-07-02,17:00:00,486
2013-07-02,18:00:00,454
2013-07-02,19:00:00,277
2013-07-02,20:00:00,88
2013-07-02,21:00:00,113
2013-07-02,22:00:00,83
2013-07-03,00:00:00,32
2013-07-03,01:00:00,13
2013-07-03,02:00:00,11
2013-07-03,03:00:00,7
2013-07-03,04:00:00,7
2013-07-03,05:00:00,28
2013-07-03,06:00:00,105
2013-07-03,07:00:00,188
2013-07-03,08:00:00,399
2013-07-03,09:00:00,243
2013-07-03,10:00:00,175
2013-07-03,11:00:00,188
2013-07-03,12:00:00,222
2013-07-03,13:00:00,257
2013-07-03,14:00:00,67
2013-07-03,15:00:00,253
2013-07-03,16:00:00,322
2013-07-03,17:00:00,359
2013-07-03,18:00:00,160
2013-07-03,19:00:00,123
2013-07-03,20:00:00,140
2013-07-03,21:00:00,125
2013-07-03,22:00:00,97
2013-07-04,00:00:00,50
2013-07-04,01:00:00,29
2013-07-04,02:00:00,19
2013-07-04,03:00:00,16
2013-07-04,04:00:00,13
2013-07-04,05:00:00,5
2013-07-04,06:00:00,21
2013-07-04,07:00:00,43
2013-07-04,08:00:00,74
2013-07-04,09:00:00,98
2013-07-04,10:00:00,163
2013-07-04,11:00:00,221
2013-07-04,12:00:00,266
2013-07-04,13:00:00,271
2013-07-04,14:00:00,302
2013-07-04,15:00:00,341
2013-07-04,16:00:00,315
2013-07-04,17:00:00,337
2013-07-04,18:00:00,274
2013-07-04,19:00:00,231
2013-07-04,20:00:00,210
2013-07-04,21:00:00,132
2013-07-04,22:00:00,219
2013-07-05,00:00:00,73
2013-07-05,01:00:00,37
2013-07-05,02:00:00,18
2013-07-05,03:00:00,11
2013-07-05,04:00:00,12
2013-07-05,05:00:00,12
2013-07-05,06:00:00,51
2013-07-05,07:00:00,95
2013-07-05,08:00:00,171
2013-07-05,09:00:00,154
2013-07-05,10:00:00,154
2013-07-05,11:00:00,198
2013-07-05,12:00:00,295
2013-07-05,13:00:00,248
2013-07-05,14:00:00,255
2013-07-05,15:00:00,256
2013-07-05,16:00:00,246
2013-07-05,17:00:00,322
2013-07-05,18:00:00,303
2013-07-05,19:00:00,212
2013-07-05,20:00:00,228
2013-07-05,21:00:00,171
2013-07-05,22:00:00,140
2013-07-06,00:00:00,76
2013-07-06,01:00:00,38
2013-07-06,02:00:00,29
2013-07-06,03:00:00,24
2013-07-06,04:00:00,18
2013-07-06,05:00:00,13
2013-07-06,06:00:00,14
2013-07-06,07:00:00,51
2013-07-06,08:00:00,91
2013-07-06,09:00:00,141
2013-07-06,10:00:00,175
2013-07-06,11:00:00,206
2013-07-06,12:00:00,219
2013-07-06,13:00:00,233
2013-07-06,14:00:00,240
2013-07-06,15:00:00,239
2013-07-06,16:00:00,253
2013-07-06,17:00:00,260
2013-07-06,18:00:00,250
2013-07-06,19:00:00,225
2013-07-06,20:00:00,207
2013-07-06,21:00:00,136
2013-07-06,22:00:00,121
2013-07-07,00:00:00,70
2013-07-07,01:00:00,36
2013-07-07,02:00:00,32
2013-07-07,03:00:00,25
2013-07-07,04:00:00,10
2013-07-07,05:00:00,9
2013-07-07,06:00:00,12
2013-07-07,07:00:00,38
2013-07-07,08:00:00,82
2013-07-07,09:00:00,134
2013-07-07,10:00:00,169
2013-07-07,11:00:00,242
2013-07-07,12:00:00,241
2013-07-07,13:00:00,247
2013-07-07,14:00:00,267
2013-07-07,15:00:00,279
2013-07-07,16:00:00,274
2013-07-07,17:00:00,285
2013-07-07,18:00:00,290
2013-07-07,19:00:00,263
2013-07-07,20:00:00,235
2013-07-07,21:00:00,148
2013-07-07,22:00:00,74
2013-07-08,00:00:00,24
2013-07-08,01:00:00,9
2013-07-08,02:00:00,13
2013-07-08,03:00:00,1
2013-07-08,04:00:00,9
2013-07-08,05:00:00,43
2013-07-08,06:00:00,124
2013-07-08,07:00:00,233
2013-07-08,08:00:00,333
2013-07-08,09:00:00,174
2013-07-08,10:00:00,134
2013-07-08,11:00:00,157
2013-07-08,12:00:00,197
2013-07-08,13:00:00,194
2013-07-08,14:00:00,205
2013-07-08,15:00:00,215
2013-07-08,16:00:00,269
2013-07-08,17:00:00,228
2013-07-08,18:00:00,139
2013-07-08,19:00:00,243
2013-07-08,20:00:00,283
2013-07-08,21:00:00,188
2013-07-08,22:00:00,119
2013-07-09,00:00:00,38
2013-07-09,01:00:00,12
2013-07-09,02:00:00,13
2013-07-09,03:00:00,6
2013-07-09,04:00:00,8
2013-07-09,05:00:00,46
2013-07-09,06:00:00,143
2013-07-09,07:00:00,253
2013-07-09,08:00:00,411
2013-07-09,09:00:00,230
2013-07-09,10:00:00,137
2013-07-09,11:00:00,192
2013-07-09,12:00:00,188
2013-07-09,13:00:00,204
2013-07-09,14:00:00,196
2013-07-09,15:00:00,196
2013-07-09,16:00:00,289
2013-07-09,17:00:00,520
2013-07-09,18:00:00,524
2013-07-09,19:00:00,359
2013-07-09,20:00:00,150
2013-07-09,21:00:00,159
2013-07-09,22:00:00,121
2013-07-10,00:00:00,32
2013-07-10,01:00:00,13
2013-07-10,02:00:00,8
2013-07-10,03:00:00,11
2013-07-10,04:00:00,5
2013-07-10,05:00:00,47
